HEADER_TIME_STAMP,START_TIME,STOP_TIME,PID,ANNOTATION_LABELS,FINEST_ACTIVITIES,MUSS_22_ACTIVITIES,MUSS_3_POSTURES,MUSS_6_ACTIVITY_GROUPS,MDCAS,RIAR_17_ACTIVITIES,SEDENTARY_AMBULATION_CYCLING,MUSS_22_ACTIVITY_ABBRS
2015-09-24 14:39:15.200,2015-09-24 14:39:15.200,2015-09-24 14:39:28.000,SPADES_1,jumping jacks still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:39:28.000,2015-09-24 14:39:28.000,2015-09-24 14:39:40.800,SPADES_1,still,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:39:40.800,2015-09-24 14:39:40.800,2015-09-24 14:39:53.600,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:39:53.600,2015-09-24 14:39:53.600,2015-09-24 14:40:06.400,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:40:06.400,2015-09-24 14:40:06.400,2015-09-24 14:40:19.200,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:40:19.200,2015-09-24 14:40:19.200,2015-09-24 14:40:32.000,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:40:32.000,2015-09-24 14:40:32.000,2015-09-24 14:40:44.800,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:40:44.800,2015-09-24 14:40:44.800,2015-09-24 14:40:57.600,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:40:57.600,2015-09-24 14:40:57.600,2015-09-24 14:41:10.400,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:41:10.400,2015-09-24 14:41:10.400,2015-09-24 14:41:23.200,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:41:23.200,2015-09-24 14:41:23.200,2015-09-24 14:41:36.000,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:41:36.000,2015-09-24 14:41:36.000,2015-09-24 14:41:48.800,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:41:48.800,2015-09-24 14:41:48.800,2015-09-24 14:42:01.600,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:42:01.600,2015-09-24 14:42:01.600,2015-09-24 14:42:14.400,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:42:14.400,2015-09-24 14:42:14.400,2015-09-24 14:42:27.200,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:42:27.200,2015-09-24 14:42:27.200,2015-09-24 14:42:40.000,SPADES_1,sitting writing,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:42:40.000,2015-09-24 14:42:40.000,2015-09-24 14:42:52.800,SPADES_1,sitting writing,Sitting and writing,Sitting and writing,Sitting,Sitting,Sitting Movement,Sitting and writing,Others,Sit-write
2015-09-24 14:42:52.800,2015-09-24 14:42:52.800,2015-09-24 14:43:05.600,SPADES_1,sitting writing,Sitting and writing,Sitting and writing,Sitting,Sitting,Sitting Movement,Sitting and writing,Others,Sit-write
2015-09-24 14:43:05.600,2015-09-24 14:43:05.600,2015-09-24 14:43:18.400,SPADES_1,sitting writing,Sitting and writing,Sitting and writing,Sitting,Sitting,Sitting Movement,Sitting and writing,Others,Sit-write
2015-09-24 14:43:18.400,2015-09-24 14:43:18.400,2015-09-24 14:43:31.200,SPADES_1,sitting writing,Sitting and writing,Sitting and writing,Sitting,Sitting,Sitting Movement,Sitting and writing,Others,Sit-write
2015-09-24 14:43:31.200,2015-09-24 14:43:31.200,2015-09-24 14:43:44.000,SPADES_1,sitting writing,Sitting and writing,Sitting and writing,Sitting,Sitting,Sitting Movement,Sitting and writing,Others,Sit-write
2015-09-24 14:43:44.000,2015-09-24 14:43:44.000,2015-09-24 14:43:56.800,SPADES_1,sitting writing,Sitting and writing,Sitting and writing,Sitting,Sitting,Sitting Movement,Sitting and writing,Others,Sit-write
2015-09-24 14:43:56.800,2015-09-24 14:43:56.800,2015-09-24 14:44:09.600,SPADES_1,sitting writing,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:44:09.600,2015-09-24 14:44:09.600,2015-09-24 14:44:22.400,SPADES_1,sitting,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:44:22.400,2015-09-24 14:44:22.400,2015-09-24 14:44:35.200,SPADES_1,reclining sitting,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:44:35.200,2015-09-24 14:44:35.200,2015-09-24 14:44:48.000,SPADES_1,reclining telling story,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:44:48.000,2015-09-24 14:44:48.000,2015-09-24 14:45:00.800,SPADES_1,reclining telling story,Reclining and talking,Reclining and talking,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Rec.-talk
2015-09-24 14:45:00.800,2015-09-24 14:45:00.800,2015-09-24 14:45:13.600,SPADES_1,reclining telling story,Reclining and talking,Reclining and talking,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Rec.-talk
2015-09-24 14:45:13.600,2015-09-24 14:45:13.600,2015-09-24 14:45:26.400,SPADES_1,reclining telling story,Reclining and talking,Reclining and talking,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Rec.-talk
2015-09-24 14:45:26.400,2015-09-24 14:45:26.400,2015-09-24 14:45:39.200,SPADES_1,reclining telling story,Reclining and talking,Reclining and talking,Sitting,Sitting,Sitting Movement,Sitting still,Sedentary,Rec.-talk
2015-09-24 14:45:39.200,2015-09-24 14:45:39.200,2015-09-24 14:45:52.000,SPADES_1,reclining telling story,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:45:52.000,2015-09-24 14:45:52.000,2015-09-24 14:46:04.800,SPADES_1,standing,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:46:04.800,2015-09-24 14:46:04.800,2015-09-24 14:46:17.600,SPADES_1,standing,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:46:17.600,2015-09-24 14:46:17.600,2015-09-24 14:46:30.400,SPADES_1,standing telling story,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:46:30.400,2015-09-24 14:46:30.400,2015-09-24 14:46:43.200,SPADES_1,standing telling story,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:46:43.200,2015-09-24 14:46:43.200,2015-09-24 14:46:56.000,SPADES_1,standing telling story,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:46:56.000,2015-09-24 14:46:56.000,2015-09-24 14:47:08.800,SPADES_1,standing,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:47:08.800,2015-09-24 14:47:08.800,2015-09-24 14:47:21.600,SPADES_1,standing,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:47:21.600,2015-09-24 14:47:21.600,2015-09-24 14:47:34.400,SPADES_1,standing,Self-selected free standing,Self-selected free standing,Upright,Standing,Upright Movement,Self-selected free standing,Others,Free-stand
2015-09-24 14:47:34.400,2015-09-24 14:47:34.400,2015-09-24 14:47:47.200,SPADES_1,arms on desk standing web browsing,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:47:47.200,2015-09-24 14:47:47.200,2015-09-24 14:48:00.000,SPADES_1,arms on desk standing web browsing,Standing and typing on a keyboard,Standing and typing on a keyboard,Upright,Standing,Upright Movement,Standing and using a computer,Others,Stand-type
2015-09-24 14:48:00.000,2015-09-24 14:48:00.000,2015-09-24 14:48:12.800,SPADES_1,arms on desk standing web browsing,Standing and typing on a keyboard,Standing and typing on a keyboard,Upright,Standing,Upright Movement,Standing and using a computer,Others,Stand-type
2015-09-24 14:48:12.800,2015-09-24 14:48:12.800,2015-09-24 14:48:25.600,SPADES_1,arms on desk standing web browsing,Standing and typing on a keyboard,Standing and typing on a keyboard,Upright,Standing,Upright Movement,Standing and using a computer,Others,Stand-type
2015-09-24 14:48:25.600,2015-09-24 14:48:25.600,2015-09-24 14:48:38.400,SPADES_1,arms on desk standing web browsing,Standing and typing on a keyboard,Standing and typing on a keyboard,Upright,Standing,Upright Movement,Standing and using a computer,Others,Stand-type
2015-09-24 14:48:38.400,2015-09-24 14:48:38.400,2015-09-24 14:48:51.200,SPADES_1,arms on desk standing web browsing,Standing and typing on a keyboard,Standing and typing on a keyboard,Upright,Standing,Upright Movement,Standing and using a computer,Others,Stand-type
2015-09-24 14:48:51.200,2015-09-24 14:48:51.200,2015-09-24 14:49:04.000,SPADES_1,arms on desk standing web browsing,Standing and typing on a keyboard,Standing and typing on a keyboard,Upright,Standing,Upright Movement,Standing and using a computer,Others,Stand-type
2015-09-24 14:49:04.000,2015-09-24 14:49:04.000,2015-09-24 14:49:16.800,SPADES_1,arms on desk standing web browsing,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:49:16.800,2015-09-24 14:49:16.800,2015-09-24 14:49:29.600,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:49:29.600,2015-09-24 14:49:29.600,2015-09-24 14:49:42.400,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:49:42.400,2015-09-24 14:49:42.400,2015-09-24 14:49:55.200,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:49:55.200,2015-09-24 14:49:55.200,2015-09-24 14:50:08.000,SPADES_1,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:50:08.000,2015-09-24 14:50:08.000,2015-09-24 14:50:20.800,SPADES_1,down elevator standing walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:50:20.800,2015-09-24 14:50:20.800,2015-09-24 14:50:33.600,SPADES_1,down elevator standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:50:33.600,2015-09-24 14:50:33.600,2015-09-24 14:50:46.400,SPADES_1,down elevator standing telling story walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:50:46.400,2015-09-24 14:50:46.400,2015-09-24 14:50:59.200,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:50:59.200,2015-09-24 14:50:59.200,2015-09-24 14:51:12.000,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:51:12.000,2015-09-24 14:51:12.000,2015-09-24 14:51:24.800,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:51:24.800,2015-09-24 14:51:24.800,2015-09-24 14:51:37.600,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:51:37.600,2015-09-24 14:51:37.600,2015-09-24 14:51:50.400,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:51:50.400,2015-09-24 14:51:50.400,2015-09-24 14:52:03.200,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:52:03.200,2015-09-24 14:52:03.200,2015-09-24 14:52:16.000,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:52:16.000,2015-09-24 14:52:16.000,2015-09-24 14:52:28.800,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:52:28.800,2015-09-24 14:52:28.800,2015-09-24 14:52:41.600,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:52:41.600,2015-09-24 14:52:41.600,2015-09-24 14:52:54.400,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:52:54.400,2015-09-24 14:52:54.400,2015-09-24 14:53:07.200,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:53:07.200,2015-09-24 14:53:07.200,2015-09-24 14:53:20.000,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:53:20.000,2015-09-24 14:53:20.000,2015-09-24 14:53:32.800,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:53:32.800,2015-09-24 14:53:32.800,2015-09-24 14:53:45.600,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:53:45.600,2015-09-24 14:53:45.600,2015-09-24 14:53:58.400,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:53:58.400,2015-09-24 14:53:58.400,2015-09-24 14:54:11.200,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:54:11.200,2015-09-24 14:54:11.200,2015-09-24 14:54:24.000,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:54:24.000,2015-09-24 14:54:24.000,2015-09-24 14:54:36.800,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:54:36.800,2015-09-24 14:54:36.800,2015-09-24 14:54:49.600,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:54:49.600,2015-09-24 14:54:49.600,2015-09-24 14:55:02.400,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:55:02.400,2015-09-24 14:55:02.400,2015-09-24 14:55:15.200,SPADES_1,standing stop light telling story walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:55:15.200,2015-09-24 14:55:15.200,2015-09-24 14:55:28.000,SPADES_1,standing stop light telling story,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:55:28.000,2015-09-24 14:55:28.000,2015-09-24 14:55:40.800,SPADES_1,standing stop light telling story,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:55:40.800,2015-09-24 14:55:40.800,2015-09-24 14:55:53.600,SPADES_1,standing stop light telling story walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:55:53.600,2015-09-24 14:55:53.600,2015-09-24 14:56:06.400,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:56:06.400,2015-09-24 14:56:06.400,2015-09-24 14:56:19.200,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:56:19.200,2015-09-24 14:56:19.200,2015-09-24 14:56:32.000,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:56:32.000,2015-09-24 14:56:32.000,2015-09-24 14:56:44.800,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:56:44.800,2015-09-24 14:56:44.800,2015-09-24 14:56:57.600,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:56:57.600,2015-09-24 14:56:57.600,2015-09-24 14:57:10.400,SPADES_1,telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:57:10.400,2015-09-24 14:57:10.400,2015-09-24 14:57:23.200,SPADES_1,outdoor standing telling story walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:57:23.200,2015-09-24 14:57:23.200,2015-09-24 14:57:36.000,SPADES_1,outdoor standing walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:57:36.000,2015-09-24 14:57:36.000,2015-09-24 14:57:48.800,SPADES_1,down mbta outdoors stairs walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:57:48.800,2015-09-24 14:57:48.800,2015-09-24 14:58:01.600,SPADES_1,down mbta stairs standing walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:58:01.600,2015-09-24 14:58:01.600,2015-09-24 14:58:14.400,SPADES_1,mbta outdoors standing,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 14:58:14.400,2015-09-24 14:58:14.400,2015-09-24 14:58:27.200,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:58:27.200,2015-09-24 14:58:27.200,2015-09-24 14:58:40.000,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:58:40.000,2015-09-24 14:58:40.000,2015-09-24 14:58:52.800,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:58:52.800,2015-09-24 14:58:52.800,2015-09-24 14:59:05.600,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:59:05.600,2015-09-24 14:59:05.600,2015-09-24 14:59:18.400,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:59:18.400,2015-09-24 14:59:18.400,2015-09-24 14:59:31.200,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:59:31.200,2015-09-24 14:59:31.200,2015-09-24 14:59:44.000,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:59:44.000,2015-09-24 14:59:44.000,2015-09-24 14:59:56.800,SPADES_1,mbta standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 14:59:56.800,2015-09-24 14:59:56.800,2015-09-24 15:00:09.600,SPADES_1,mbta outdoors standing walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 15:00:09.600,2015-09-24 15:00:09.600,2015-09-24 15:00:22.400,SPADES_1,outdoors walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:00:22.400,2015-09-24 15:00:22.400,2015-09-24 15:00:35.200,SPADES_1,outdoors standing walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 15:00:35.200,2015-09-24 15:00:35.200,2015-09-24 15:00:48.000,SPADES_1,outdoors standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:00:48.000,2015-09-24 15:00:48.000,2015-09-24 15:01:00.800,SPADES_1,outdoors standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:01:00.800,2015-09-24 15:01:00.800,2015-09-24 15:01:13.600,SPADES_1,outdoors standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:01:13.600,2015-09-24 15:01:13.600,2015-09-24 15:01:26.400,SPADES_1,outdoors standing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:01:26.400,2015-09-24 15:01:26.400,2015-09-24 15:01:39.200,SPADES_1,outdoors standing walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 15:01:39.200,2015-09-24 15:01:39.200,2015-09-24 15:01:52.000,SPADES_1,outdoors walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:01:52.000,2015-09-24 15:01:52.000,2015-09-24 15:02:04.800,SPADES_1,outdoors walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:02:04.800,2015-09-24 15:02:04.800,2015-09-24 15:02:17.600,SPADES_1,outdoors telling story walking,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition
2015-09-24 15:02:17.600,2015-09-24 15:02:17.600,2015-09-24 15:02:30.400,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:02:30.400,2015-09-24 15:02:30.400,2015-09-24 15:02:43.200,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:02:43.200,2015-09-24 15:02:43.200,2015-09-24 15:02:56.000,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:02:56.000,2015-09-24 15:02:56.000,2015-09-24 15:03:08.800,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:03:08.800,2015-09-24 15:03:08.800,2015-09-24 15:03:21.600,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:03:21.600,2015-09-24 15:03:21.600,2015-09-24 15:03:34.400,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:03:34.400,2015-09-24 15:03:34.400,2015-09-24 15:03:47.200,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:03:47.200,2015-09-24 15:03:47.200,2015-09-24 15:04:00.000,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:04:00.000,2015-09-24 15:04:00.000,2015-09-24 15:04:12.800,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2015-09-24 15:04:12.800,2015-09-24 15:04:12.800,2015-09-24 15:04:25.600,SPADES_1,outdoors telling story walking,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
